,STATE,WINNER,PARTY,SYMBOL,GENDER,AGE,CATEGORY,EDUCATION,"TOTAL
VOTES",TOTAL ELECTORS
827,Haryana,Loser,INC,Hand,MALE,60.0,GENERAL,Graduate Professional,495290,2150728
880,Haryana,Loser,INC,Hand,MALE,26.0,GENERAL,Post Graduate,184369,1631817
881,Haryana,Loser,BSP,Elephant,MALE,58.0,GENERAL,10th Pass,45190,1631817
708,Haryana,Winner,BJP,Lotus,MALE,62.0,GENERAL,Graduate Professional,913222,2071816
826,Haryana,Winner,BJP,Lotus,MALE,69.0,GENERAL,Graduate Professional,881546,2150728
879,Haryana,Loser,JNJP,Chappals,MALE,31.0,GENERAL,Post Graduate,289221,1631817
1069,Himachal Pradesh,Loser,INC,Hand,MALE,45.0,GENERAL,10th Pass,247595,1427338
1915,Himachal Pradesh,Winner,BJP,Lotus,MALE,48.0,SC,Post Graduate,606182,1259085
839,Himachal Pradesh,Winner,BJP,Lotus,MALE,44.0,GENERAL,Graduate,682692,1362269
1367,Himachal Pradesh,Loser,INC,Hand,MALE,32.0,GENERAL,Others,241730,1281462
1070,Himachal Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,11327,1427338
842,Himachal Pradesh,Loser,INC,Hand,MALE,68.0,GENERAL,Graduate Professional,283120,1362269
1368,Himachal Pradesh,Loser,CPI(M),"Hammer, Sickle and Star",MALE,48.0,GENERAL,Post Graduate,14838,1281462
1068,Himachal Pradesh,Winner,BJP,Lotus,MALE,67.0,ST,12th Pass,725218,1427338
1916,Himachal Pradesh,Loser,INC,Hand,MALE,78.0,SC,Doctorate,278668,1259085
1366,Himachal Pradesh,Winner,BJP,Lotus,MALE,60.0,GENERAL,10th Pass,647189,1281462
2152,Jammu & Kashmir,Loser,DSSP,Tractor Chalata Kisan,MALE,60.0,GENERAL,Graduate,19049,1685816
288,Jammu & Kashmir,Loser,IND,Table,MALE,48.0,GENERAL,Post Graduate,4967,1317738
287,Jammu & Kashmir,Loser,BJP,Lotus,MALE,65.0,GENERAL,Graduate,7894,1317738
286,Jammu & Kashmir,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,8128,1317738
1261,Jammu & Kashmir,Loser,INC,Hand,MALE,61.0,ST,Graduate,21241,179232
1260,Jammu & Kashmir,Loser,IND,Cup & Saucer,MALE,54.0,ST,10th Pass,29365,179232
285,Jammu & Kashmir,Loser,INC,Hand,MALE,55.0,GENERAL,8th Pass,34532,1317738
2009,Jammu & Kashmir,Loser,BJP,Lotus,MALE,43.0,GENERAL,12th Pass,4631,1294671
282,Jammu & Kashmir,Loser,JPC,Apple,MALE,67.0,GENERAL,Graduate Professional,103193,1317738
281,Jammu & Kashmir,Winner,JKN,Plough,MALE,71.0,GENERAL,Graduate Professional,133426,1317738
2150,Jammu & Kashmir,Loser,INC,Hand,MALE,54.0,GENERAL,Others,367059,1685816
2006,Jammu & Kashmir,Winner,JKN,Plough,MALE,83.0,GENERAL,Graduate Professional,106750,1294671
2007,Jammu & Kashmir,Loser,PDP,Ink Pot & Pen,MALE,58.0,GENERAL,12th Pass,36700,1294671
2008,Jammu & Kashmir,Loser,JPC,Apple,MALE,41.0,GENERAL,Graduate,28773,1294671
1259,Jammu & Kashmir,Loser,IND,Battery torch,MALE,37.0,ST,Post Graduate,31984,179232
104,Jammu & Kashmir,Loser,IND,Table,MALE,45.0,GENERAL,12th Pass,1369,1397779
283,Jammu & Kashmir,Loser,IND,Gas Cylinder,MALE,54.0,GENERAL,Others,102168,1317738
964,Jammu & Kashmir,Loser,INC,Hand,MALE,56.0,GENERAL,Graduate Professional,555191,2047302
1258,Jammu & Kashmir,Winner,BJP,Lotus,MALE,33.0,ST,Graduate,42914,179232
103,Jammu & Kashmir,Loser,JPC,Apple,MALE,60.0,ST,8th Pass,1646,1397779
102,Jammu & Kashmir,Loser,BJP,Lotus,MALE,53.0,GENERAL,Illiterate,10225,1397779
101,Jammu & Kashmir,Loser,JKPDP,Ink Pot & Pen,FEMALE,59.0,GENERAL,Graduate Professional,30524,1397779
100,Jammu & Kashmir,Loser,INC,Hand,MALE,60.0,GENERAL,Graduate,33504,1397779
99,Jammu & Kashmir,Winner,JKN,Plough,MALE,65.0,GENERAL,Post Graduate,40180,1397779
284,Jammu & Kashmir,Loser,JKPDP,Ink Pot & Pen,MALE,59.0,GENERAL,Graduate Professional,53530,1317738
2151,Jammu & Kashmir,Loser,JKNPP,Bicycle,MALE,59.0,GENERAL,Post Graduate,24319,1685816
2153,Jammu & Kashmir,Loser,BSP,Elephant,MALE,62.0,SC,Graduate Professional,16601,1685816
963,Jammu & Kashmir,Winner,BJP,Lotus,MALE,56.0,GENERAL,10th Pass,858066,2047302
2149,Jammu & Kashmir,Winner,BJP,Lotus,MALE,62.0,GENERAL,Post Graduate,724311,1685816
968,Jharkhand,Loser,JMM,Bow & Arrow,MALE,62.0,ST,10th Pass,377542,1703279
967,Jharkhand,Winner,BJP,Lotus,MALE,56.0,GENERAL,12th Pass,679632,1703279
1278,Jharkhand,Loser,JKP,Basket containing Fruits,MALE,53.0,ST,Graduate,19546,1234286
1281,Jharkhand,Loser,AITC,Flowers and Grass,MALE,26.0,ST,12th Pass,9643,1234286
1280,Jharkhand,Loser,IND,Air Conditioner,MALE,41.0,ST,8th Pass,10663,1234286
1276,Jharkhand,Winner,BJP,Lotus,MALE,52.0,ST,Graduate,371595,1234286
1279,Jharkhand,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,10783,1234286
1277,Jharkhand,Loser,INC,Hand,MALE,57.0,ST,Post Graduate,361232,1234286
1282,Jharkhand,Loser,IND,Tractor Chalata Kisan,MALE,47.0,ST,8th Pass,8950,1234286
678,Jharkhand,Loser,IND,Television,MALE,45.0,ST,8th Pass,12609,1397253
795,Jharkhand,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18683,1716766
676,Jharkhand,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,14396,1397253
1793,Jharkhand,Loser,INC,Hand,MALE,67.0,GENERAL,Graduate,423730,1915959
1792,Jharkhand,Winner,BJP,Lotus,MALE,60.0,GENERAL,Graduate Professional,706510,1915959
677,Jharkhand,Loser,AITC,Flowers and Grass,MALE,44.0,ST,10th Pass,13104,1397253
864,Jharkhand,Winner,BJP,Lotus,MALE,55.0,GENERAL,Post Graduate,728798,1667465
865,Jharkhand,Loser,INC,Hand,MALE,74.0,GENERAL,Graduate,249250,1667465
866,Jharkhand,Loser,CPI(M),Ears of Corn And Sickle,MALE,73.0,GENERAL,12th Pass,32109,1667465
867,Jharkhand,Loser,IND,Tractor Chalata Kisan,MALE,42.0,GENERAL,Graduate,15660,1667465
868,Jharkhand,Loser,IND,Batsman,MALE,34.0,GENERAL,12th Pass,14829,1667465
1950,Jharkhand,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,24270,1269917
1951,Jharkhand,Loser,IND,Helicopter,FEMALE,29.0,ST,Post Graduate,15224,1269917
1766,Jharkhand,Loser,IND,Bat,MALE,65.0,ST,12th Pass,12130,1454436
1765,Jharkhand,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,12919,1454436
1764,Jharkhand,Loser,AITC,Flowers and Grass,FEMALE,32.0,ST,Graduate,17427,1454436
1763,Jharkhand,Loser,CPI(M),"Hammer, Sickle and Star",MALE,56.0,ST,Graduate,35586,1454436
1794,Jharkhand,Loser,IND,Football,MALE,77.0,GENERAL,10th Pass,29539,1915959
1762,Jharkhand,Loser,BJP,Lotus,MALE,63.0,ST,Graduate,408635,1454436
498,Jharkhand,Loser,IND,Truck,MALE,41.0,GENERAL,10th Pass,11224,1425218
497,Jharkhand,Loser,IND,Scissors,MALE,66.0,GENERAL,Literate,13090,1425218
496,Jharkhand,Loser,IND,Sewing Machine,MALE,43.0,GENERAL,Graduate,15859,1425218
495,Jharkhand,Loser,BSP,Elephant,MALE,36.0,GENERAL,Literate,18888,1425218
494,Jharkhand,Loser,CPI(M),Ears of Corn And Sickle,MALE,40.0,GENERAL,10th Pass,22577,1425218
493,Jharkhand,Loser,RJD,Hurricane Lamp,MALE,52.0,GENERAL,Graduate,83425,1425218
492,Jharkhand,Loser,INC,Hand,MALE,62.0,GENERAL,Graduate,150206,1425218
491,Jharkhand,Winner,BJP,Lotus,MALE,55.0,GENERAL,Post Graduate,528077,1425218
1952,Jharkhand,Loser,APoI,Coat,MALE,25.0,ST,Post Graduate,11298,1269917
1953,Jharkhand,Loser,BSP,Elephant,MALE,31.0,ST,12th Pass,9491,1269917
1185,Jharkhand,Loser,CPI(ML)(L),Flag with Three Stars,MALE,46.0,GENERAL,10th Pass,68207,1814125
1186,Jharkhand,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,31164,1814125
1187,Jharkhand,Loser,AITC,Flowers and Grass,FEMALE,28.0,GENERAL,Graduate,14119,1814125
1954,Jharkhand,Loser,IND,Tractor Chalata Kisan,MALE,31.0,ST,Graduate,9154,1269917
1761,Jharkhand,Winner,JMM,Bow & Arrow,MALE,36.0,ST,10th Pass,507830,1454436
1183,Jharkhand,Winner,BJP,Lotus,FEMALE,50.0,GENERAL,Post Graduate,753016,1814125
1184,Jharkhand,Loser,JVM,Comb,MALE,61.0,ST,Graduate,297416,1814125
794,Jharkhand,Loser,JVM,Comb,MALE,53.0,GENERAL,Graduate,453383,1716766
619,Jharkhand,Loser,INC,Hand,MALE,58.0,GENERAL,Graduate,341040,2072634
618,Jharkhand,Winner,BJP,Lotus,MALE,69.0,GENERAL,Graduate,827234,2072634
1618,Jharkhand,Loser,BSP,Elephant,FEMALE,47.0,SC,8th Pass,53597,1881441
790,Jharkhand,Winner,AJSUP,Banana,MALE,50.0,GENERAL,Graduate,648277,1649413
791,Jharkhand,Loser,JMM,Bow & Arrow,MALE,52.0,GENERAL,10th Pass,399930,1649413
792,Jharkhand,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,19708,1649413
793,Jharkhand,Winner,BJP,Lotus,MALE,47.0,GENERAL,Doctorate,637610,1716766
1621,Jharkhand,Loser,IND,Basket containing Fruits,MALE,65.0,SC,Graduate,13097,1881441
796,Jharkhand,Loser,BSP,Elephant,MALE,46.0,GENERAL,Doctorate,17583,1716766
797,Jharkhand,Loser,IND,Hand Cart,MALE,82.0,GENERAL,Post Graduate,16456,1716766
798,Jharkhand,Loser,IND,Auto- Rickshaw,MALE,36.0,GENERAL,Post Graduate,13613,1716766
1617,Jharkhand,Loser,RJD,Hurricane Lamp,MALE,51.0,SC,Graduate,278053,1881441
1616,Jharkhand,Winner,BJP,Lotus,MALE,68.0,SC,Graduate,755659,1881441
1173,Jharkhand,Winner,BJP,Lotus,MALE,50.0,ST,12th Pass,382638,1202664
1622,Jharkhand,Loser,BLSD,Tractor Chalata Kisan,MALE,33.0,SC,10th Pass,13047,1881441
1949,Jharkhand,Loser,BJP,Lotus,MALE,57.0,ST,12th Pass,359660,1269917
1174,Jharkhand,Loser,INC,Hand,MALE,57.0,ST,12th Pass,381193,1202664
1948,Jharkhand,Winner,INC,Hand,FEMALE,35.0,ST,Post Graduate,431815,1269917
672,Jharkhand,Winner,BJP,Lotus,MALE,39.0,ST,12th Pass,484923,1397253
673,Jharkhand,Loser,JMM,Bow & Arrow,MALE,72.0,ST,10th Pass,437333,1397253
674,Jharkhand,Loser,IND,Stethoscope,MALE,60.0,ST,Graduate Professional,16562,1397253
675,Jharkhand,Loser,CPI(M),Ears of Corn And Sickle,MALE,45.0,ST,10th Pass,16157,1397253
1175,Jharkhand,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,21245,1202664
1176,Jharkhand,Loser,IND,Pot,FEMALE,40.0,ST,Doctorate,10989,1202664
1177,Jharkhand,Loser,JKP,Basket containing Fruits,MALE,50.0,ST,Graduate,8838,1202664
1619,Jharkhand,Loser,IND,Cup & Saucer,MALE,40.0,SC,10th Pass,19491,1881441
1620,Jharkhand,Loser,IND,BELT,MALE,28.0,SC,12th Pass,13961,1881441
1196,Karnataka,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,13889,1629961
1195,Karnataka,Loser,INC,Hand,MALE,71.0,SC,Graduate Professional,499144,1629961
1918,Karnataka,Loser,JD(S),A lady farmer carrying paddy on her head,MALE,52.0,GENERAL,Graduate,506512,1676668
812,Karnataka,Winner,BJP,Lotus,MALE,60.0,SC,Post Graduate,620192,1945765
813,Karnataka,Loser,INC,Hand,MALE,77.0,SC,Graduate Professional,524740,1945765
863,Karnataka,Loser,INC,Hand,MALE,72.0,GENERAL,Graduate Professional,542778,1708510
862,Karnataka,Winner,BJP,Lotus,MALE,52.0,GENERAL,12th Pass,683660,1708510
855,Karnataka,Loser,BSP,Elephant,MALE,29.0,SC,12th Pass,38761,1652999
854,Karnataka,Loser,BJP,Lotus,MALE,60.0,GENERAL,Graduate Professional,535282,1652999
853,Karnataka,Winner,JD(S),A lady farmer carrying paddy on her head,MALE,28.0,GENERAL,Graduate Professional,676606,1652999
1212,Karnataka,Winner,BJP,Lotus,MALE,64.0,GENERAL,10th Pass,586783,1736693
1213,Karnataka,Loser,INC,Hand,MALE,38.0,GENERAL,12th Pass,548386,1736693
1917,Karnataka,Winner,BJP,Lotus,MALE,46.0,GENERAL,Graduate,729872,1676668
1194,Karnataka,Winner,BJP,Lotus,MALE,44.0,SC,12th Pass,709165,1629961
541,Karnataka,Loser,BSP,Elephant,MALE,49.0,SC,8th Pass,15575,1612556
2177,Karnataka,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,16017,1556599
240,Karnataka,Winner,INC,Hand,MALE,52.0,GENERAL,12th Pass,878258,2497458
239,Karnataka,Loser,INC,Hand,MALE,46.0,GENERAL,Post Graduate,676982,2849250
238,Karnataka,Winner,BJP,Lotus,MALE,66.0,GENERAL,Graduate Professional,824500,2849250
586,Karnataka,Winner,BJP,Lotus,MALE,52.0,GENERAL,10th Pass,774285,1724976
587,Karnataka,Loser,INC,Hand,MALE,34.0,GENERAL,Graduate,499664,1724976
588,Karnataka,Loser,SDPI,Gas Cylinder,MALE,57.0,GENERAL,12th Pass,46839,1724976
237,Karnataka,Loser,IND,Whistle,MALE,53.0,GENERAL,12th Pass,28906,2204817
236,Karnataka,Loser,INC,Hand,MALE,39.0,GENERAL,Graduate,531885,2204817
235,Karnataka,Winner,BJP,Lotus,MALE,55.0,GENERAL,12th Pass,602853,2204817
196,Karnataka,Loser,INC,Hand,FEMALE,38.0,GENERAL,Graduate,496451,1704010
540,Karnataka,Loser,INC,Hand,MALE,72.0,GENERAL,10th Pass,526140,1612556
539,Karnataka,Winner,BJP,Lotus,MALE,55.0,GENERAL,12th Pass,645017,1612556
195,Karnataka,Winner,BJP,Lotus,MALE,68.0,GENERAL,Graduate Professional,664638,1704010
538,Karnataka,Loser,CPI(M),"Hammer, Sickle and Star",FEMALE,48.0,GENERAL,12th Pass,18648,1808780
537,Karnataka,Loser,BSP,Elephant,MALE,65.0,GENERAL,Post Graduate,23446,1808780
241,Karnataka,Loser,BJP,Lotus,MALE,59.0,GENERAL,10th Pass,671388,2497458
536,Karnataka,Loser,INC,Hand,MALE,79.0,GENERAL,Graduate Professional,563802,1808780
242,Karnataka,Loser,BSP,Elephant,MALE,43.0,SC,Graduate,19972,2497458
244,Karnataka,Loser,INC,Hand,MALE,64.0,GENERAL,Graduate,408037,2215489
1725,Karnataka,Winner,BJP,Lotus,MALE,62.0,ST,Graduate Professional,598337,1928204
2136,Karnataka,Winner,BJP,Lotus,MALE,78.0,GENERAL,Graduate Professional,596127,1608545
2137,Karnataka,Loser,JD(S),A lady farmer carrying paddy on her head,MALE,86.0,GENERAL,Others,582788,1608545
2138,Karnataka,Loser,CPI(M),Ears of Corn And Sickle,MALE,74.0,GENERAL,Others,17227,1608545
2154,Karnataka,Winner,BJP,Lotus,FEMALE,52.0,GENERAL,Post Graduate,718916,1513806
2155,Karnataka,Loser,JD(S),A lady farmer carrying paddy on her head,MALE,50.0,GENERAL,12th Pass,369317,1513806
2156,Karnataka,Loser,BSP,Elephant,MALE,43.0,SC,Graduate Professional,15947,1513806
2175,Karnataka,Winner,BJP,Lotus,MALE,51.0,GENERAL,12th Pass,786042,1556599
1728,Karnataka,Loser,BSP,Elephant,MALE,37.0,ST,Graduate Professional,13830,1928204
1377,Karnataka,Winner,IND,Man Blowing Turha,FEMALE,55.0,GENERAL,10th Pass,703660,1712004
1378,Karnataka,Loser,JD(S),A lady farmer carrying paddy on her head,MALE,31.0,GENERAL,Graduate,577784,1712004
2176,Karnataka,Loser,JD(S),A lady farmer carrying paddy on her head,MALE,39.0,GENERAL,Post Graduate,306393,1556599
1379,Karnataka,Loser,IND,Sitar,MALE,36.0,GENERAL,10th Pass,18323,1712004
543,Karnataka,Loser,INC,Hand,MALE,64.0,SC,Post Graduate,546017,1760633
542,Karnataka,Winner,BJP,Lotus,MALE,62.0,SC,Graduate,626195,1760633
243,Karnataka,Winner,BJP,Lotus,MALE,28.0,GENERAL,Graduate Professional,739229,2215489
1726,Karnataka,Loser,INC,Hand,MALE,53.0,ST,Graduate Professional,480621,1928204
535,Karnataka,Winner,BJP,Lotus,MALE,76.0,GENERAL,Graduate Professional,745912,1808780
609,Karnataka,Winner,BJP,Lotus,MALE,67.0,GENERAL,10th Pass,652996,1633064
472,Karnataka,Winner,BJP,Lotus,MALE,71.0,SC,Post Graduate,568537,1686333
473,Karnataka,Loser,INC,Hand,MALE,58.0,SC,Post Graduate,566720,1686333
474,Karnataka,Loser,BSP,Elephant,MALE,42.0,SC,Doctorate,87631,1686333
475,Karnataka,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,12716,1686333
426,Karnataka,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,12286,1797587
631,Karnataka,Loser,INC,Hand,MALE,52.0,GENERAL,12th Pass,479765,1727311
630,Karnataka,Winner,BJP,Lotus,MALE,56.0,GENERAL,Graduate,684837,1727311
356,Karnataka,Winner,BJP,Lotus,MALE,63.0,GENERAL,Graduate Professional,761991,1779350
424,Karnataka,Loser,IND,Ganna Kisan,MALE,33.0,SC,Graduate Professional,23706,1797587
423,Karnataka,Loser,JD(S),A lady farmer carrying paddy on her head,FEMALE,42.0,SC,Doctorate,377829,1797587
422,Karnataka,Winner,BJP,Lotus,MALE,66.0,SC,Graduate,635867,1797587
421,Karnataka,Loser,BSP,Elephant,MALE,65.0,GENERAL,10th Pass,15188,1775095
420,Karnataka,Loser,INC,Hand,MALE,57.0,GENERAL,Graduate Professional,468637,1775095
425,Karnataka,Loser,BSP,Elephant,MALE,36.0,SC,Graduate Professional,23442,1797587
1727,Karnataka,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,14921,1928204
1488,Karnataka,Winner,BJP,Lotus,MALE,42.0,GENERAL,Post Graduate,688974,1896333
1489,Karnataka,Loser,INC,Hand,MALE,62.0,GENERAL,Graduate,550327,1896333
610,Karnataka,Loser,INC,Hand,MALE,51.0,GENERAL,10th Pass,483294,1633064
357,Karnataka,Loser,INC,Hand,MALE,69.0,GENERAL,Graduate Professional,370687,1779350
358,Karnataka,Winner,BJP,Lotus,MALE,67.0,ST,5th Pass,616388,1751734
1490,Karnataka,Loser,BSP,Elephant,MALE,46.0,GENERAL,Graduate Professional,24597,1896333
359,Karnataka,Loser,INC,Hand,MALE,65.0,ST,Graduate Professional,560681,1751734
419,Karnataka,Winner,BJP,Lotus,MALE,50.0,GENERAL,Graduate Professional,585471,1775095
471,Kerala,Loser,BJP,Lotus,MALE,59.0,GENERAL,Graduate,154159,1230197
2089,Kerala,Loser,BJP,Lotus,MALE,60.0,GENERAL,Post Graduate,293822,1337110
903,Kerala,Winner,INC,Hand,MALE,37.0,GENERAL,Post Graduate,498493,1204191
2088,Kerala,Loser,CPI(M),Ears of Corn And Sickle,MALE,64.0,GENERAL,Post Graduate,321456,1337110
1209,Kerala,Winner,RSP,Spade & Stoker,MALE,58.0,GENERAL,Graduate Professional,499677,1296720
904,Kerala,Loser,IND,Battery Torch,MALE,49.0,GENERAL,Post Graduate,327440,1204191
1397,Kerala,Loser,BDJS,Pot,MALE,64.0,SC,10th Pass,133546,1308102
1396,Kerala,Loser,CPI(M),Ears of Corn And Sickle,MALE,53.0,SC,10th Pass,379277,1308102
1395,Kerala,Winner,INC,Hand,MALE,56.0,SC,Post Graduate,440415,1308102
1211,Kerala,Loser,BJP,Lotus,MALE,57.0,GENERAL,Post Graduate,103339,1296720
1210,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,55.0,GENERAL,Post Graduate,350821,1296720
1081,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",FEMALE,69.0,GENERAL,12th Pass,435182,1266550
2081,Kerala,Loser,CPI(M),Ears of Corn And Sickle,MALE,76.0,GENERAL,Graduate,258556,1371427
2087,Kerala,Winner,INC,Hand,MALE,58.0,GENERAL,12th Pass,415089,1337110
905,Kerala,Loser,BDJS,Pot,MALE,49.0,GENERAL,Graduate,78648,1204191
1082,Kerala,Loser,BJP,Lotus,MALE,70.0,GENERAL,10th Pass,68509,1266550
2080,Kerala,Loser,BJP,Lotus,MALE,66.0,GENERAL,Graduate,316142,1371427
1652,Kerala,Loser,BJP,Lotus,MALE,49.0,GENERAL,Graduate,297396,1382741
2247,Kerala,Winner,INC,Hand,MALE,48.0,GENERAL,Post Graduate,706367,1359679
2248,Kerala,Loser,CPI(M),Ears of Corn And Sickle,MALE,50.0,GENERAL,Post Graduate,274597,1359679
2249,Kerala,Loser,BDJS,Pot,MALE,50.0,GENERAL,Not Available,78816,1359679
1235,Kerala,Loser,BJP,Lotus,MALE,39.0,GENERAL,Post Graduate,161216,1318024
31,Kerala,Loser,BDJS,Pot,MALE,61.0,SC,10th Pass,89837,1266794
30,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,44.0,SC,Doctorate,374847,1266794
29,Kerala,Winner,INC,Hand,FEMALE,32.0,SC,10th Pass,533815,1266794
28,Kerala,Loser,BJP,Lotus,MALE,64.0,GENERAL,Doctorate,187729,1356701
1651,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",FEMALE,42.0,GENERAL,Post Graduate,336684,1382741
27,Kerala,Loser,INC,Hand,FEMALE,52.0,GENERAL,Post Graduate,435496,1356701
691,Kerala,Winner,INC,Hand,MALE,35.0,GENERAL,Graduate,491263,1245972
692,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,51.0,GENERAL,Graduate Professional,322110,1245972
693,Kerala,Loser,BJP,Lotus,MALE,65.0,GENERAL,Graduate,137749,1245972
1680,Kerala,Winner,IUML,Ladder,MALE,72.0,GENERAL,10th Pass,521824,1356803
1681,Kerala,Loser,IND,Scissors,MALE,51.0,GENERAL,Not Available,328551,1356803
1682,Kerala,Loser,BJP,Lotus,FEMALE,61.0,GENERAL,Post Graduate,110603,1356803
1683,Kerala,Loser,SDPI,Auto- Rickshaw,MALE,40.0,GENERAL,Graduate Professional,18124,1356803
1684,Kerala,Loser,IND,CUTTING PLIERS,FEMALE,36.0,GENERAL,10th Pass,16288,1356803
1080,Kerala,Winner,INC,Hand,MALE,70.0,GENERAL,Post Graduate,529741,1266550
26,Kerala,Winner,CPI(M),"Hammer, Sickle and Star",MALE,54.0,GENERAL,Graduate Professional,445970,1356701
1230,Kerala,Winner,KEC(M),Two Leaves,MALE,66.0,GENERAL,Graduate Professional,421046,1206698
1650,Kerala,Winner,INC,Hand,MALE,62.0,GENERAL,Graduate,380927,1382741
1118,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,61.0,GENERAL,Graduate,434523,1363937
2079,Kerala,Winner,INC,Hand,MALE,63.0,GENERAL,Doctorate,416131,1371427
470,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,71.0,GENERAL,8th Pass,341170,1230197
2178,Kerala,Winner,INC,Hand,MALE,62.0,GENERAL,Graduate,526755,1288926
2179,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,66.0,GENERAL,10th Pass,442092,1288926
2180,Kerala,Loser,BJP,Lotus,MALE,43.0,GENERAL,Graduate Professional,80128,1288926
1231,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,64.0,GENERAL,10th Pass,314787,1206698
1232,Kerala,Loser,KEC,Television,MALE,68.0,GENERAL,Graduate Professional,155135,1206698
169,Kerala,Loser,BJP,Lotus,FEMALE,49.0,GENERAL,Graduate,248081,1350710
168,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,56.0,GENERAL,Doctorate,342748,1350710
1353,Kerala,Loser,SDPI,Auto- Rickshaw,MALE,48.0,GENERAL,10th Pass,19106,1370544
1352,Kerala,Loser,BJP,Lotus,MALE,54.0,GENERAL,Graduate Professional,82332,1370544
1351,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,30.0,GENERAL,Post Graduate,329720,1370544
1350,Kerala,Winner,IUML,Ladder,MALE,67.0,GENERAL,Graduate,589873,1370544
1233,Kerala,Winner,INC,Hand,MALE,66.0,GENERAL,Graduate,493444,1318024
1234,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,55.0,GENERAL,12th Pass,408219,1318024
167,Kerala,Winner,INC,Hand,MALE,63.0,GENERAL,Graduate Professional,380995,1350710
1613,Kerala,Winner,INC,Hand,MALE,49.0,GENERAL,Graduate,399274,1323010
1614,Kerala,Loser,CPI(M),"Hammer, Sickle and Star",MALE,48.0,GENERAL,Post Graduate,387637,1323010
1615,Kerala,Loser,BJP,Lotus,MALE,48.0,GENERAL,Graduate,218556,1323010
1119,Kerala,Loser,BJP,Lotus,MALE,52.0,GENERAL,10th Pass,176049,1363937
1117,Kerala,Winner,INC,Hand,MALE,65.0,GENERAL,Graduate,474961,1363937
469,Kerala,Winner,INC,Hand,MALE,66.0,GENERAL,Graduate,473444,1230197
1266,Lakshadweep,Winner,NCP,Clock,MALE,43.0,ST,Post Graduate,22851,55189
1267,Lakshadweep,Loser,INC,Hand,MALE,36.0,ST,Graduate Professional,22028,55189
1268,Lakshadweep,Loser,JD(U),Arrow,MALE,64.0,ST,Post Graduate,1342,55189
1443,Madhya Pradesh,Loser,INC,Hand,MALE,59.0,GENERAL,Post Graduate,428348,1837723
1937,Madhya Pradesh,Loser,GGP,Apple,MALE,63.0,ST,Post Graduate,17032,1845547
1938,Madhya Pradesh,Loser,IND,Balloon,MALE,34.0,GENERAL,Not Available,15555,1845547
1373,Madhya Pradesh,Loser,BSCP,FLUTE,MALE,43.0,ST,12th Pass,15709,1951267
1374,Madhya Pradesh,Loser,IND,Helicopter,MALE,40.0,ST,Post Graduate,15626,1951267
829,Madhya Pradesh,Winner,BJP,Lotus,MALE,71.0,GENERAL,Graduate Professional,627250,2000744
830,Madhya Pradesh,Loser,INC,Hand,MALE,56.0,GENERAL,Graduate,480408,2000744
831,Madhya Pradesh,Loser,BSP,Elephant,FEMALE,50.0,GENERAL,10th Pass,44677,2000744
1375,Madhya Pradesh,Winner,BJP,Lotus,MALE,59.0,GENERAL,Post Graduate,847786,1760875
1376,Madhya Pradesh,Loser,INC,Hand,FEMALE,45.0,GENERAL,Post Graduate,471052,1760875
615,Madhya Pradesh,Winner,BJP,Lotus,MALE,35.0,SC,Graduate Professional,862429,1760503
616,Madhya Pradesh,Loser,INC,Hand,MALE,65.0,SC,Post Graduate,490180,1760503
1889,Madhya Pradesh,Loser,INC,Hand,MALE,66.0,GENERAL,12th Pass,357280,1575064
524,Madhya Pradesh,Loser,BSP,Elephant,MALE,45.0,SC,10th Pass,14275,1514783
523,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,20324,1514783
