,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
1323,Telangana,MAHABUBABAD,Kalluri. Venkateswara Rao.,CPI(M),Ears of Corn And Sickle,MALE,ST,10th Pass
1324,Telangana,MAHABUBABAD,Jatothu Hussain,BJP,Lotus,MALE,ST,Graduate
1325,Telangana,MAHABUBABAD,Balu Nayak Bhukya,IND,Camera,MALE,ST,Post Graduate
1326,Telangana,MAHABUBABAD,NOTA,NOTA,,,,
1327,Telangana,MAHABUBABAD,Uke Kousalya,IND,Scissors,FEMALE,ST,5th Pass
1328,Uttar Pradesh,MAHARAJGANJ,PANKAJ CHOUDHARY,BJP,Lotus,MALE,GENERAL,12th Pass
1329,Bihar,MAHARAJGANJ,"Janardan Singh 'Sigriwal""",BJP,Lotus,MALE,GENERAL,Graduate
1330,Bihar,MAHARAJGANJ,Randhir Kumar Singh,RJD,Hurricane Lamp,MALE,GENERAL,12th Pass
1331,Uttar Pradesh,MAHARAJGANJ,AKHILESH,SP,Bicycle,MALE,GENERAL,Graduate
1332,Uttar Pradesh,MAHARAJGANJ,SUPRIYA SHRINATE,INC,Hand,FEMALE,GENERAL,Post Graduate
1333,Bihar,MAHARAJGANJ,Anirudh Prasad alias Sadhu Yadav,BSP,Elephant,MALE,GENERAL,Graduate
1334,Bihar,MAHARAJGANJ,NOTA,NOTA,,,,
1335,Bihar,MAHARAJGANJ,M.K. Singh Rathour,IND,Cauliflower,MALE,GENERAL,Graduate Professional
1336,Bihar,MAHARAJGANJ,Dr. Shree Bhagwan Singh,IND,Whistle,MALE,GENERAL,Graduate Professional
1337,Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,BJP,Lotus,MALE,GENERAL,Graduate
1338,Chhattisgarh,MAHASAMUND,DHANENDRA SAHU,INC,Hand,MALE,GENERAL,12th Pass
1339,Chhattisgarh,MAHASAMUND,NOTA,NOTA,,,,
1340,Chhattisgarh,MAHASAMUND,DEVENDAR SINGH THAKUR (RAJPUT),IND,Glass Tumbler,MALE,GENERAL,12th Pass
1341,Telangana,MAHBUBNAGAR,MANNE SRINIVAS REDDY,TRS,Car,MALE,GENERAL,12th Pass
1342,Telangana,MAHBUBNAGAR,ARUNA D.K,BJP,Lotus,FEMALE,GENERAL,10th Pass
1343,Telangana,MAHBUBNAGAR,CHALLA VAMSHI CHAND REDDY,INC,Hand,MALE,GENERAL,12th Pass
1344,Telangana,MAHBUBNAGAR,NOTA,NOTA,,,,
1345,Gujarat,MAHESANA,SHARDABEN ANILBHAI PATEL,BJP,Lotus,FEMALE,GENERAL,12th Pass
1346,Gujarat,MAHESANA,A. J. Patel,INC,Hand,MALE,GENERAL,Graduate Professional
1347,Gujarat,MAHESANA,NOTA,NOTA,,,,
1348,Uttar Pradesh,MAINPURI,MULAYAM SINGH YADAV,SP,Bicycle,MALE,GENERAL,Post Graduate
1349,Uttar Pradesh,MAINPURI,PREM SINGH SHAKYA,BJP,Lotus,MALE,GENERAL,Others
1350,Kerala,MALAPPURAM,P.K. Kunhalikutty,IUML,Ladder,MALE,GENERAL,Graduate
